XIST	EIF1AY	KDM5D	UTY	DDX3Y	RPS4Y1	sex
6538	2	3	0	5	9	female
8641	5	8	2	8	13	female
13778	4	32	6	20	39	female
14570	2	10	2	12	18	female
34944	2	29	4	19	39	female
11828	3	14	2	22	21	female
45139	6	26	2	26	46	female
10651	0	2	0	9	12	female
9483	5	20	2	20	26	female
5404	4	12	2	19	17	female
6527	0	11	6	8	31	female
35	1225	5480	1714	2592	8406	male
3	681	1771	858	3906	21840	male
19	2489	14708	2241	8782	15470	male
10	653	4799	1031	2431	10871	male
16	1121	5132	1127	8010	10694	male
23	1507	7227	2250	6371	13423	male
16	1005	8656	2023	6250	11679	male
8	1761	7095	1039	6653	12921	male
9	3876	4656	903	3524	8795	male
21	5486	2821	684	2523	7144	male
35	984	4766	2097	5798	11461	male
45	1322	7193	2332	7463	17426	male
2	2041	1921	1146	2373	5643	male
131	928	4659	1698	3844	7464	male
17	1419	5879	1121	6135	8233	male
40	1290	7523	1024	5151	8229	male
29	1616	8538	1394	6102	10542	male
6	607	2602	991	2254	8266	male
53	1830	7290	1423	8095	11267	male
18	892	4747	887	2795	7557	male
13	985	5421	2016	8392	12397	male
176	1034	2734	737	8896	3851	male
8	686	5566	1295	4217	10489	male
12	916	1321	1253	3685	12791	male
9	953	8066	1895	6768	10658	male
23	1877	16384	1255	8194	14046	male
26	1128	7232	1557	6192	9241	male
8	2785	15463	1513	10596	19861	male
64	722	5365	893	3130	15605	male
73	513	4130	1288	3634	11822	male
9	859	7312	1163	6114	11102	male
16	996	6809	1428	5460	12622	male
211	1278	3651	968	11564	5778	male
5	893	4322	1516	3424	9427	male
18	1289	8261	990	6623	8361	male
8	507	3358	448	2302	6136	male
25	1275	7377	1234	7779	9871	male
18	1350	15598	1538	9595	11485	male
60	1178	4730	1988	6146	10519	male
12	2501	1414	841	2046	7057	male
23	865	5323	2284	5985	10990	male
0	507	4962	1234	3592	7127	male
9	660	1854	1134	3101	14534	male
5	985	1860	611	2403	5661	male
4	1006	3272	854	3416	6495	male
9	1381	3170	941	3396	10797	male
7	1065	3015	690	2831	7153	male
15	800	5966	1938	4584	13622	male
14	2244	2419	895	2129	7421	male
71	1382	11608	2842	13700	15395	male
138	995	7527	1777	6695	9691	male
6	1225	6893	1116	6385	6223	male
31	1236	7391	1536	9086	10071	male
12	1057	8295	2271	6811	10593	male
18	2159	5344	1249	4927	6132	male
14	899	7699	1965	7754	11349	male
8	669	5545	1336	4015	7907	male
4	710	5129	1291	3429	12426	male
18	793	6392	755	4076	6712	male
24	1047	7208	909	5374	7783	male
5	797	7151	1796	6827	14399	male
2	822	2524	1230	5319	7070	male
186	1183	3228	803	8903	4442	male
28	594	4617	1698	3719	12302	male
33	725	4275	995	3941	4835	male
13	530	5597	1366	6101	4881	male
21	1556	6951	1708	7609	8753	male
10	1416	13316	3507	16097	24179	male
8	521	1124	479	2555	15344	male
3	764	2655	652	2452	5501	male
20	914	1989	611	2341	8767	male
6	717	2459	682	2015	5601	male
12	3894	2295	803	2245	8411	male
6	2195	5365	872	9233	10664	male
6	1223	12138	2373	8333	11976	male
32	6591	3694	995	3950	7435	male
13	536	3181	1363	15588	7557	male
16	730	3776	739	2863	7218	male
2	955	5564	2010	8533	12325	male
290	957	2685	635	11440	3617	male
8	703	4030	1242	4251	7373	male
8	1167	6458	1886	8711	15200	male
6	489	1288	323	1330	3933	male
10	500	4720	1480	7324	3866	male
10	2185	6549	1921	7286	7627	male
5	1568	2410	1235	2597	9206	male
14	987	1835	843	4908	26627	male
8	1173	2712	695	4166	6305	male
2	1242	2711	534	3277	8772	male
14	1007	5050	1834	5496	13497	male
22	1015	5307	1443	7324	12763	male
27	2802	4926	2150	4206	12520	male
17	1562	7120	1506	9400	7874	male
29	805	5805	1400	6615	8875	male
7	889	5137	2291	6923	15188	male
572	2100	6025	2469	19020	9089	male
28	2920	2977	531	3188	5600	male
28	3202	7257	756	6899	6068	male
21	1208	5672	1858	17457	7905	male
48	1081	6954	1194	7917	7901	male
39	1197	11303	1508	11486	12435	male
51	1596	7042	1777	8765	12653	male
30	1380	7424	1192	9062	12523	male
20	1412	7006	1996	12727	15736	male
15	1248	7656	1709	10528	17347	male
21	558	5709	1389	9457	5360	male
12	567	3133	570	3724	2880	male
14	2295	6404	1270	9347	6695	male
11	3479	2396	1574	13386	12287	male
9	536	6894	2320	4358	7288	male
9	691	1987	825	4273	19386	male
0	756	5614	1213	4725	9875	male
2	1899	2050	885	1625	6955	male
14	1549	5041	680	6857	8039	male
127	1193	9881	2036	8125	11789	male
11	328	4108	1140	11304	2697	male
7	949	3472	637	5581	6250	male
6	917	2256	697	1939	8176	male
14	1230	1410	539	3701	18481	male
15	670	6943	1529	8868	6837	male
8	717	1833	615	2648	5605	male
13	1067	2221	666	2682	8740	male
9	749	2405	576	2209	5154	male
15	1793	3961	887	3422	7001	male
7	880	6900	2041	3500	22559	male
15	1007	6595	2613	10838	9977	male
8	714	2451	738	2624	5543	male
10	1185	6195	1775	6947	10712	male
15	556	2340	1206	15915	5671	male
8	1434	2401	762	2860	14133	male
34	564	6246	1226	4756	11111	male
292	1223	3554	1043	13131	5309	male
14	1094	6581	1919	8130	14531	male
62	484	4030	652	3263	5703	male
33	616	6658	921	4803	6880	male
10	955	6057	1491	5461	12080	male
7	3980	4041	1058	2412	8843	male
24	921	4890	2350	4470	12538	male
16	422	5079	1403	7922	5142	male
25	1247	5890	1844	6026	6835	male
5	2934	2176	426	692	7566	male
17	742	1604	844	3409	20961	male
1	481	1466	443	1875	2591	male
4	919	1933	660	2311	3964	male
10	1250	3991	1049	3683	7010	male
12	1010	2275	698	2782	7984	male
28	1168	2602	710	3162	8087	male
8	1253	3568	743	3271	4352	male
17	810	2739	714	1853	3351	male
2	2153	1182	257	1574	6397	male
6	539	2508	787	2627	7978	male
4	1198	7495	1734	10088	8902	male
87	2854	1999	526	2284	3567	male
15	1010	4995	1153	6040	9063	male
36	1158	7074	1462	8538	8646	male
18	513	2789	1264	3253	6085	male
39	982	6620	1031	5881	6468	male
17	1085	6158	1137	7026	9660	male
7	1030	4543	1511	5403	9619	male
283	1361	4731	1659	7347	7056	male
85	854	4481	1152	4140	9426	male
6	2460	2786	1170	2880	6986	male
74	1227	7099	1849	7556	12305	male
11	1998	9153	2303	12582	14780	male
2	2833	10881	3185	12335	11318	male
39	761	4848	1047	3436	4602	male
19	494	4348	1201	5839	4696	male
3	3356	2525	2095	12071	11556	male
20	1137	1826	816	605	4560	male
8	1536	1724	726	4572	26510	male
12	1508	9758	1689	7393	16790	male
9	912	6774	1357	5111	8575	male
22	1471	6439	1339	5828	13299	male
4	2606	11564	1971	8276	9299	male
18	767	4537	1111	2649	13776	male
22	1170	6268	1586	5951	13400	male
24	1262	5560	1869	6225	17677	male
19	1020	4191	1366	7945	10013	male
466	1304	5685	1623	10408	5974	male
22	335	2685	1106	2570	7665	male
26	1551	4521	1043	6465	8878	male
15	833	3708	1818	2609	7702	male
47	2260	9445	1397	8337	12348	male
31	1011	5081	1097	3363	6827	male
35	1514	15591	1972	6382	8616	male
25	1553	6845	1329	8254	10260	male
22	1916	5745	1139	7508	11468	male
22	2653	2369	672	2785	5997	male
13	1237	6584	2136	5661	16519	male
14	356	3739	1443	2770	5829	male
74	1094	5406	1474	4838	9263	male
32	1881	4867	967	5701	13101	male
858	3	8	2	2	6	female
11040	2	0	5	3	6	female
32807	2	7	7	13	28	female
20292	2	25	6	19	10	female
16781	2	10	2	12	17	female
11954	3	19	0	15	21	female
20738	0	2	0	27	28	female
31841	0	2	2	7	8	female
22470	6	15	0	31	47	female
25688	2	4	4	8	29	female
37524	0	7	0	17	9	female
4186	0	9	4	14	15	female
18158	2	3	2	0	4	female
69462	0	3	2	15	5	female
40714	11	9	5	33	43	female
